Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Fatalities_per_1000,Injured_per_1000,Impact_Score,Impact_Level,Dist_Name_clean,Flood_Count,Avg_Flood_Duration,Max_Flood_Duration,Total_Flood_Duration,Districts_clean,Event_Impact,DFSI,Population_Density,Supply_Priority_Score,Supply_Priority_Level
Dadra & Nagar Haveli,10,0,618459,1.0,0.016169220595059656,0.0,0.10808461029752983,Low,dadra & nagar haveli,1.0,1.0,1.0,1.0,dadra and nagar haveli,0.8,0,0.046139890501326546,0.00458815137712945,Low
North  & Middle Andaman,0,0,101677,1.0,0.0,0.0,0.1,Low,north  & middle andaman,2.0,1.0,1.0,2.0,north and middle andaman,0.0,0,0.007585572603039779,0.006425935256627261,Low
South Andaman,1,0,257900,2.0,0.0038774718883288098,0.0,0.20193873594416442,Low,south andaman,1.0,2.0,2.0,2.0,south andamans,0.4,0,0.019240528087216963,0.004504355643267032,Low
Srikakulam,144,0,2726592,6.0,0.052813182170269694,0.0,0.626406591085135,Low,srikakulam,6.0,2.6666666666666665,7.0,16.0,srikakulam,42.0,0,0.20341632399527365,0.09155405354230708,Low
Vizianagaram,63,107,2443656,9.0,0.025781042830905824,0.04378685052233211,0.934783946676619,Low,vizianagaram,0.0,0.0,0.0,0.0,,0.0,0,0.18230799497284317,0.005634669808901944,Low
Visakhapatnam,106,115,4885485,10.0,0.021696924665616617,0.023539116382508593,1.0226180205240627,Low,visakhapatnam,4.0,16.5,62.0,66.0,visakhapatnam,3.7,0,0.36447968732910885,0.025546457595716516,Low
Krishna,210,1,4751934,8.0,0.04419253297709943,0.00021044063322428298,0.8222014868051619,Low,krishna,1.0,21.0,21.0,21.0,krishna,0.0,0,0.3545161674897296,0.008437273607940735,Low
Guntur,188,108,5374652,8.0,0.03497900887350474,0.020094324246481447,0.8275366665599931,Low,guntur,2.0,1.0,1.0,2.0,guntur,0.0,0,0.4009737990113099,0.011802911819248408,Low
East Godavari,222,1,5569277,9.0,0.03986154755814803,0.00017955652053219836,0.9200205520393402,Low,east godavari,5.0,13.8,62.0,69.0,east godavari,0.8,0,0.41549372060485235,0.023496642897573992,Low
Prakasam,177,0,3731704,8.0,0.04743141471027713,0.0,0.8237157073551387,Low,prakasam,3.0,1.3333333333333333,2.0,4.0,prakasam,2.0,0,0.278402309519891,0.018089105870987745,Low
Kurnool,161,108,4618046,7.0,0.03486323003278876,0.023386514556156434,0.7291248722944726,Low,kurnool,4.0,7.5,14.0,30.0,kurnool,3.6,0,0.3445275058978672,0.023440409555795454,Low
Anantapur,118,1,4537583,10.0,0.02600503395750557,0.0002203816437076743,1.0131127078006066,Low,anantapur,0.0,0.0,0.0,0.0,,0.0,0,0.3385245954229477,0.00639889986316967,Low
Sri Potti Sriramulu Nell*,175,0,3285473,6.0,0.053264781052834706,0.0,0.6266323905264174,Low,sri potti sriramulu nell*,7.0,3.857142857142857,14.0,27.0,sri potti sriramulu nellore,13.8,0,0.24511142123417207,0.04897913289599266,Low
West Godavari,232,0,4167944,8.0,0.05566293597034893,0.0,0.8278314679851745,Low,west godavari,6.0,3.8333333333333335,8.0,23.0,west godavari,6.800000000000001,0,0.31094782317932307,0.03574742238039516,Low
Y.S.R.,144,1,3162142,9.0,0.045538751896657396,0.0003162413326156763,0.9229274966146366,Low,y.s.r.,2.0,7.5,14.0,15.0,y.s.r.,13.4,0,0.23591036047603112,0.033965717149889926,Low
Chittoor,124,0,4580686,8.0,0.02707018119120149,0.0,0.8135350905956008,Low,chittoor,1.0,14.0,14.0,14.0,chittoor,5.2,0,0.34174027778876126,0.01682380116985393,Low
Upper Subansiri,5,1,119722,7.0,0.04176341858639181,0.008352683717278361,0.7250580511518352,Low,upper subansiri,4.0,3.25,8.0,13.0,upper lower subansiri,0.0,0,0.008931812732290769,0.017008186104102686,Low
Anjaw,5,1,24066,5.0,0.20776198786669992,0.041552397573339984,0.62465719272002,Low,anjaw,3.0,3.0,7.0,9.0,anjaw,0.2,0,0.0017954344666419675,0.013413145461897279,Low
Changlang,4,1,183018,5.0,0.02185577374903015,0.005463943437257537,0.5136598585931439,Low,changlang,4.0,3.25,7.0,13.0,changlang,0.0,0,0.01365398592270754,0.015639548678002966,Low
Tawang,92,8,60141,6.0,1.529738447980579,0.13302073460700686,1.431379591293793,Low,tawang,10.0,2.0,8.0,20.0,tawang,34.400000000000006,0,0.004486795656042324,0.09712216032306176,Low
Papum Pare,73,9,245559,4.0,0.29728089786975836,0.03665106960038117,0.5669659837350698,Low,papum pare,10.0,2.0,8.0,20.0,papum pare,28.8,0,0.018319832635009345,0.08240204467473376,Low
Tirap,4,1,69112,5.0,0.05787706910522051,0.014469267276305127,0.5361731681907628,Low,tirap,2.0,1.5,2.0,3.0,tirap,0.0,0,0.005156073583418917,0.009261718305864716,Low
East Siang,13,668,86959,6.0,0.1494957393714279,7.681781069239527,4.515638404305477,Medium,east siang,1.0,1.0,1.0,1.0,east siang,0.0,0,0.006487542000528499,0.03191719911861648,Low
Lohit,14,1,51927,6.0,0.26960925915227146,0.019257804225162246,0.744433531688717,Low,lohit,11.0,3.8181818181818183,14.0,42.0,lohit,2.8,0,0.003873993415994243,0.04447050735790729,Low
Kurung Kumey,17,3,77223,4.0,0.2201416676378799,0.03884852958315528,0.5294950986105176,Low,kurung kumey,8.0,3.0,8.0,24.0,kurung kumey,6.000000000000001,0,0.005761191548969195,0.03851680525920952,Low
Lower Subansiri,12,1,99671,5.0,0.12039610317946042,0.010033008598288368,0.5652145558888744,Low,lower subansiri,1.0,1.0,1.0,1.0,lower subansiri,14.8,0,0.007435915761849561,0.03028833989781102,Low
East Kameng,0,0,87734,2.0,0.0,0.0,0.2,Low,east kameng,0.0,0.0,0.0,0.0,,0.0,0,0.006545360570778957,0.0005647261426433442,Low
West Kameng,22,6,99039,4.0,0.22213471460737688,0.06058219489292097,0.541358454750149,Low,west kameng,0.0,0.0,0.0,0.0,,0.0,0,0.007388765650367898,0.0027885381654166362,Low
Kra Daadi,7,2,93220,5.0,0.07509118214975327,0.021454623471358077,0.5482729028105556,Low,kra daadi,5.0,3.4,8.0,17.0,kra daadi,1.5000000000000002,0,0.006954641443545426,0.021550746983931054,Low
Namsai,4,1,120106,5.0,0.033303914875193574,0.008325978718798394,0.520814946796996,Low,namsai,1.0,1.0,1.0,1.0,namsai,0.0,0,0.008960460901292286,0.00591263298688354,Low
Longding,4,1,60400,5.0,0.06622516556291391,0.016556291390728478,0.5413907284768212,Low,longding,3.0,3.3333333333333335,8.0,10.0,longding,0.0,0,0.004506118249196994,0.012549916397038587,Low
Upper Siang,24,671,34326,4.0,0.6991784653032687,19.547864592437218,10.523521528870244,High,upper siang,4.0,1.25,2.0,5.0,upper siang,4.9,0,0.002560877732151258,0.08876688409569441,Low
Lower Siang,4,1,19141,5.0,0.2089754976229037,0.05224387440572593,0.6306096860143149,Low,lower siang,0.0,0.0,0.0,0.0,,0.0,0,0.001428006778276153,0.003359912864143123,Low
Upper Dibang Valley,5,1,10102,5.0,0.4949514947535142,0.09899029895070283,0.7969708968521085,Low,upper dibang valley,2.0,1.0,1.0,2.0,lower dibang valley,0.0,0,0.0007536557376388746,0.010952495483136886,Low
Lower Dibang Valley,5,1,59491,4.0,0.08404632633507589,0.016809265267015178,0.4504277958010455,Low,lower dibang valley,2.0,1.0,1.0,2.0,lower dibang valley,0.0,0,0.004438302661638714,0.008702298493981575,Low
Siang,4,1,48365,5.0,0.08270443502532823,0.020676108756332058,0.5516902718908301,Low,siang,3.0,3.0,7.0,9.0,siang,7.699999999999999,0,0.00360825180666246,0.025148364632641303,Low
Shi Yomi,4,1,12507,5.0,0.3198209002958343,0.07995522507395858,0.6998880626848965,Low,shi yomi,0.0,0.0,0.0,0.0,,0.0,0,0.0009330798169322317,0.003810149252823412,Low
Pakke Kessang,3,1,18414,5.0,0.16291951775822744,0.054306505919409144,0.6086130118388183,Low,pakke kessang,1.0,2.0,2.0,2.0,pakke kessang,0.0,0,0.0013737692291508846,0.006471900301630578,Low
West Siang,52,668,48422,7.0,1.0738920325471892,13.795382264260047,8.134637148403618,High,west siang,5.0,2.4,8.0,12.0,west siang,14.0,0,0.003612504269248623,0.0912824298332339,Low
Lepa Rada,3,1,22468,5.0,0.1335232330425494,0.04450774434751647,0.589015488695033,Low,lepa rada,1.0,3.0,3.0,3.0,leparada,0.0,0,0.0016762163050158616,0.006344801465588532,Low
Kamle,3,1,25202,5.0,0.11903817157368463,0.03967939052456155,0.5793587810491231,Low,kamle,4.0,4.5,8.0,18.0,kamle,0.0,0,0.0018801852999381229,0.016048122783862476,Low
Tinsukia,105,45,1408250,13.0,0.07456062488904669,0.031954553523877154,1.353257589206462,Low,tinsukia,4.0,2.75,6.0,11.0,tinsukia,5.6000000000000005,0,0.10506193749059049,0.030369393533081462,Low
Dhemaji,162,35,702202,9.0,0.230702846189558,0.049843207510089686,1.040273026849824,Low,dhemaji,40.0,2.025,15.0,81.0,dhemaji,1.6,0,0.052387504086467335,0.13892569643075597,Low
Dibrugarh,147,47,1510242,10.0,0.09733539393024429,0.031120840236200556,1.0642281170832224,Low,dibrugarh,26.0,1.8076923076923077,17.0,47.0,dibrugarh,2.0,0,0.11267101054476433,0.09425682169889292,Low
Lakhimpur,214,39,1161342,9.0,0.1842695777815665,0.03358183894150044,1.0089257083615335,Low,lakhimpur,40.0,1.3,6.0,52.0,lakhimpur,5.6000000000000005,0,0.08664146324104197,0.14528793399802345,Low
Sivasagar,117,15,800874,12.0,0.1460903962421055,0.018729537979757117,1.2824099671109315,Low,sivasagar,15.0,1.4,7.0,21.0,sivasagar,5.0,0,0.05974888984614889,0.06466594886324219,Low
Jorhat,205,4,1037431,13.0,0.19760350326913306,0.00385567811256845,1.4007295906908508,Low,jorhat,14.0,1.3571428571428572,6.0,19.0,jorhat,16.8,0,0.07739713181097162,0.08141590721597361,Low
Sonitpur,144,8,1462078,9.0,0.09848995744413089,0.005471664302451716,0.9519808108732913,Low,sonitpur,22.0,1.2272727272727273,6.0,27.0,sonitpur,1.9000000000000001,0,0.1090777542640636,0.08033626779367785,Low
Golaghat,83,5,1310870,9.0,0.06331672858483298,0.0038142607581224683,0.9335654946714778,Low,golaghat,21.0,1.2380952380952381,6.0,26.0,golaghat,1.6,0,0.09779694088286196,0.076454432706612,Low
Udalguri,51,2,909069,10.0,0.05610135204258423,0.002200053021277813,1.029150702531931,Low,udalguri,12.0,1.0,1.0,12.0,udalguri,3.0,0,0.06782073527614671,0.05000907721806582,Low
Chirang,56,1,616102,9.0,0.09089404027255228,0.0016231078620098619,0.9462585740672811,Low,chirang,13.0,1.0,1.0,13.0,chirang,1.0,0,0.04596404744315838,0.04943382704275682,Low
Baksa,51,1,1258285,7.0,0.040531358158127924,0.0007947325129044691,0.7206630453355163,Low,baksa,39.0,1.0,1.0,39.0,baksa,3.2,0,0.09387385763560992,0.1362613198524844,Low
Nagaon,144,5,2348489,8.0,0.061316020641357064,0.0021290284944915647,0.8317225245679244,Low,nagaon,40.0,1.15,6.0,46.0,nagaon,12.600000000000001,0,0.17520809835990725,0.15567189793666156,Low
Kokrajhar,71,1,1311786,13.0,0.05412468192220377,0.0007623194636930109,1.3274435006929484,Low,kokrajhar,12.0,1.4166666666666667,6.0,17.0,kokrajhar,1.0,0,0.09786527870266766,0.048744749485170866,Low
Darrang,150,3,1126535,9.0,0.13315165529699474,0.0026630331059398953,0.9679073442014674,Low,darrang,28.0,1.1785714285714286,6.0,33.0,darrang,4.4,0,0.08404470069303203,0.10400004218738935,Low
Barpeta,159,5,1877307,9.0,0.08469579029961535,0.0026633896320633755,0.9436795899658393,Low,barpeta,31.0,1.0,1.0,31.0,barpeta,8.8,0,0.14005575053055067,0.12086096235223515,Low
Nalbari,130,1,978546,10.0,0.13285016749340348,0.001021924365333873,1.0669360459293686,Low,nalbari,23.0,1.0,1.0,23.0,nalbari,3.2,0,0.07300403954103843,0.0863972001607627,Low
Morigaon,81,3,1127394,8.0,0.07184710935130043,0.002661004050048164,0.8372540567006743,Low,morigaon,22.0,1.2272727272727273,6.0,27.0,marigaon,5.6000000000000005,0,0.08410878605025157,0.08557097062370907,Low
Kamrup,181,13,1546068,8.0,0.1170711766882181,0.008408427054954893,0.8627398018715865,Low,kamrup,39.0,1.358974358974359,7.0,53.0,kamrup,15.5,0,0.11534379518707777,0.15724127946648625,Low
Bongaigaon,79,1,803266,11.0,0.09834849228026582,0.001244917623800833,1.1497967049520335,Low,bongaigaon,7.0,1.0,1.0,7.0,bongaigaon,0.0,0,0.059927344065554174,0.029622340836396317,Low
Dhubri,141,3,1376422,12.0,0.10243951346316754,0.0021795641162376074,1.2523095387897027,Low,dhubri,17.0,2.235294117647059,7.0,38.0,dhubri,2.6,0,0.10268742206616265,0.06714409577470982,Low
Kamrup Metropolitan,7,2,1437551,1.0,0.004869392459815339,0.0013912549885186682,0.10313032372416701,Low,kamrup metropolitan,0.0,0.0,0.0,0.0,,0.0,0,0.10724792707369846,9.795687091414674e-05,Low
Goalpara,158,5,1063871,10.0,0.14851424655808834,0.004699817929053429,1.0766070322435708,Low,goalpara,16.0,2.125,7.0,34.0,goalpara,10.4,0,0.07936967761409693,0.07540255011092267,Low
Dima Hasao,41,1,288305,8.0,0.1422105062347167,0.0034685489325540658,0.8728395275836355,Low,dima hasao,9.0,1.1111111111111112,2.0,10.0,dima hasao,1.6,0,0.02150888115620429,0.03687146195907566,Low
Cachar,194,33,2105643,8.0,0.09213337683548445,0.015672172348304057,0.8539027745918943,Low,cachar,39.0,1.358974358974359,7.0,53.0,cachar,23.8,0,0.1570906680230779,0.17076113408394084,Low
Karimganj,116,14,1393118,11.0,0.0832664569691871,0.010049399979039824,1.1466579284741136,Low,karimganj,14.0,2.2142857142857144,9.0,31.0,karimganj,8.0,0,0.10393302058087445,0.06548168460246681,Low
Hailakandi,73,6,765445,9.0,0.09536936030674967,0.007838577559458876,0.9516039689331043,Low,hailakandi,8.0,1.0,1.0,8.0,hailakandi,2.0,0,0.057105723232725045,0.034837973253029716,Low
Charaideo,50,1,496227,18.0,0.10076033750682652,0.00201520675013653,1.8513877721284815,Low,charaideo,4.0,1.0,1.0,4.0,charaideo,0.0,0,0.03702082020603106,0.02438695726072062,Low
Majuli,54,1,147155,11.0,0.36696000815466684,0.006795555706567905,1.2868777819306174,Low,majuli,10.0,1.5,6.0,15.0,majuli,0.4,0,0.010978440909943436,0.04085206325605977,Low
Biswanath,56,1,666698,10.0,0.08399605218554727,0.0014999295033133442,1.0427479908444304,Low,biswanath,15.0,1.0,1.0,15.0,biswanath,0.8,0,0.04973874212753538,0.056253217012922005,Low
